"id","title","type"
"scatter_basic","基础散点图","scatter"
"scatter_grouped","分组散点图","scatter"
"regression_ci","回归置信带","scatter"
"line_trend","时间趋势图","line"
"spaghetti_line","个体轨迹图","line"
"bar_grouped","分组柱状图","bar"
"bar_stacked","堆叠柱状图","bar"
"lollipop_rank","棒棒糖排序图","bar"
"dumbbell_compare","哑铃比较图","dumbbell"
"boxplot","箱线图","box"
"violin","小提琴图","violin"
"density","密度曲线图","density"
"histogram","直方图","hist"
"heatmap","热图","heat"
"cluster_heatmap","聚类热图","heat"
"volcano","火山图","volcano"
"ma_plot","MA 图","scatter"
"pca","PCA 图","pca"
"umap_like","UMAP 类图","pca"
"dotplot","表达 DotPlot","bubble"
"bubble","气泡图","bubble"
"forest","森林图","forest"
"funnel","漏斗图","forest"
"survival","生存曲线","line"
"roc","ROC 曲线","line"
"calibration","校准曲线","scatter"
"nomogram_like","列线图结构示意","network"
"sankey_like","桑基流向图","network"
"network","网络关系图","network"
"timeline","时间轴图","gantt"
"gantt","甘特图","gantt"
"radar","雷达图","polar"
"likert","Likert 量表图","bar"
"venn_like","Venn 关系图","network"
"map_tile","地图栅格图","heat"
"manhattan","Manhattan 图","scatter"
"enrichment_dot","富集气泡图","bubble"
"chord_like","弦图关系示意","network"
"response_surface","响应面图","heat"
"waterfall","瀑布图","waterfall"
